id,symbol,image_location
713,country_latvia,0
714,country_lebanon,0
715,country_lesotho,0
716,country_liberia,0
717,country_libya,0
718,country_liechtenstein,0
719,country_lithuania,0
720,country_luxembourg,0
721,country_macedonia,0
722,country_madagascar,0
723,country_malaysia,0
724,country_maldives,0
725,country_mali,0
726,country_marshall_islands,0
727,country_mauritania,0
728,country_mauritius,0
729,country_moldova,0
730,country_monaco,0
731,country_mongolia,0
732,country_morocco,0
733,country_namibia,0
734,country_nauru,0
735,country_nepal,0
736,country_new_caledonia,0
737,country_new_zealand,0
738,country_niger,0
739,country_nigeria,0
740,country_niue,0
741,country_north_korea,0
742,country_northern_cyprus,0
743,country_norway,0
744,country_oman,0
745,country_pakistan,0
746,country_palau,0
747,country_palestine,0
748,country_panama,0
749,country_papua_new_guinea,0
750,country_paraguay,0
751,country_pitcairn_islands,0
752,country_qatar,0
753,country_romania,0
754,country_russian_federation,0
755,country_rwanda,0
756,country_samoa,0
757,country_sao_tome_principe,0
758,country_saudi_arabia,0
759,country_scotland,0
760,country_senegal,0
761,country_seychelles,0
762,country_sierra_leone,0
763,country_singapore,0
764,country_slovenia,0
765,country_solomon_islands,0
766,country_somalia,0
767,country_somaliland,0
768,country_south_africa,0
769,country_south_korea,0
770,country_sri_lanka,0
771,country_st_kitts_and_nevis,0
772,country_st_vincent_grenadines,0
773,country_suriname,0
774,country_sweden,0
775,country_switzerland,0
776,country_syria,0
777,country_taiwan,0
778,country_tanzania,0
779,country_thailand,0
780,country_the_azores,0
781,country_the_bahamas,0
782,country_the_czech_republic,0
783,country_the_faroe_islands,0
784,country_the_gambia,0
785,country_the_netherlands,0
786,country_the_sudan,0
787,country_togo,0
788,country_trinidad_and_tobago,0
789,country_tunisia,0
790,country_turkey,0
791,country_ukraine,0
792,country_united_arab_emirates,0
793,country_united_kingdom,0
794,country_united_states,0
795,country_uzbekistan,0
796,country_vanuatu,0
797,country_venezuela,0
798,country_viet_nam,0
799,country_wakes_island,0
800,country_wales,0
801,country_western_sahara,0
802,country_yemen,0
803,country_zambia,0
804,courgette,0
805,cover_food,0
806,cow,0
807,cow_shed,0
808,crab,0
809,cracker,0
810,craft_table,0
811,cranberries,0
812,cranberry_juice,0
813,crane,0
814,crane_fly,0
815,crayon,0
816,cream,0
817,cream_2,0
818,cream_ointment,0
819,creme_fraiche,0
820,cricket,0
821,cricket_2,0
822,cricket_ball,0
823,cricket_bowler,0
824,crisp_bread,0
825,crisps,0
826,crisps_cheese_puffs,0
827,crocodile,0
828,crocodile_2,0
829,croissant,0
830,crooked,0
831,cross,0
832,cross_palm,0
833,crown,0
834,crown_of_thorns,0
835,crucifixion,0
836,cruiser,0
837,crunchy,0
838,crush,0
839,crush_garlic,0
840,crutches,0
841,crutches_1,0
842,cucumber,0
843,cup_non_spill,0
844,cupboard,0
845,curly,0
846,curly_hair,0
847,currants,0
848,curry,0
849,curtains,0
850,cushion_2,0
851,cut,0
852,cut_and_paste,0
853,cycle,0
854,cycle_helmet,0
855,cymbals_hand,0
856,d,0
857,d_lower_case,0
858,dad_parent,0
859,daffodil,0
860,dairy_products,0
861,daisy,0
862,danish_pastry,0
863,darts,0
864,date,0
865,dates,0
866,daughter,0
867,day,0
868,dead,0
869,dead_plant,0
870,decorate_cake,0
871,decorate_tree,0
872,deep,0
873,deep_fat_fryer,0
874,deer,0
875,delicious_drink,0
876,delicious_food,0
877,delivery_person_1a,0
878,delivery_person_1b,0
879,delivery_person_2a,0
880,delivery_person_2b,0
881,delivery_trolley,0
882,dental_floss,0
883,dentist_1a,0
884,dentist_1b,0
885,dentist_2a,0
886,dentist_2b,0
887,deodorant,0
888,deodorant_spray,0
889,desiring_lady,0
890,desiring_man,0
891,desk,0
892,dessert,0
893,dessert_menu,0
894,diamond,0
895,dice,0
896,dictionary,0
897,dining_table,0
898,dinner,0
899,dinner_2_people,0
900,dinner_3_people,0
901,dinner_cold,0
902,dinner_hot,0
903,dinner_lady_1a,0
904,dinner_lady_1b,0
905,dinner_time,0
906,dinner_time_1,0
907,dinosaur,0
908,dip_food,0
909,dirty,0
910,dirty_dishes,0
911,disabled_sign,0
912,disabled_toilet,0
913,disgusted_lady,0
914,disgusted_man,0
915,dish,0
916,dish_cloth,0
917,dish_partitioned,0
918,dishes,0
919,dishwasher,0
920,dishwasher_powder,0
921,dive_2,0
922,divide,0
923,doctor_1a,0
924,doctor_1b,0
925,doctor_2a,0
926,doctor_2b,0
927,dog,0
928,dog_basket,0
